Company Name,Symbol,Industry,Series,Open,High,Low,Previous Close,Last Traded Price,Change,Percentage Change,Share Volume,Value (Indian Rupee),52 Week High,52 Week Low,365 Day Percentage Change,30 Day Percentage Change
Ncc Ltd.,Ncc,Construction,Eq,54.05,55.95,53.1,54.1,55.2,1.1,2.03,2281956.0,124389421.6,98.5,52.2,-37.71,-16.19
Nesco Ltd.,Nesco,Services,Eq,550.0,555.5,545.6,550.85,553.6,2.75,0.5,12047.0,6631150.68,696.8,501.95,-9.09,1.71
Network18 Media & Investments Ltd.,Network18,Media Entertainment & Publication,Eq,68.2,68.75,66.5,69.0,67.45,-1.55,-2.25,1455769.0,98468215.16,117.5,46.0,37.86,-8.61
Narayana Hrudayalaya Ltd.,Nh,Healthcare,Eq,634.1,644.35,631.5,632.55,640.0,7.45,1.18,50400.0,32060448.0,777.0,468.3,28.5,-3.38
The New India Assurance Company Ltd.,Niacl,Financial Services,Eq,79.8,80.6,78.15,79.8,78.9,-0.9,-1.13,289192.0,22805681.12,178.4,78.15,-52.95,-21.26
Nlc India Ltd.,Nlcindia,Power,Eq,63.6,64.25,61.6,63.65,62.75,-0.9,-1.41,2402689.0,150240143.2,92.4,49.8,4.26,-15.64
Nocil Ltd.,Nocil,Chemicals,Eq,253.75,254.5,244.35,253.2,247.7,-5.5,-2.17,373166.0,92500388.08,321.3,190.7,16.92,3.54
Nuvoco Vistas Corporation Ltd.,Nuvoco,Construction Materials,Eq,299.0,307.4,292.5,296.85,305.0,8.15,2.75,150042.0,44912071.86,577.9,260.25,-11.06,-1.54
Fsn E-Commerce Ventures Ltd.,Nykaa,Consumer Services,Eq,1399.8,1420.0,1381.4,1406.95,1405.05,-1.9,-0.14,143804.0,201378807.5,2573.7,1207.5,-11.06,-5.86
Oberoi Realty Ltd.,Oberoirlty,Realty,Eq,734.35,751.0,731.35,737.65,740.25,2.6,0.35,563385.0,418724633.6,1051.9,605.5,17.14,-8.45
Orient Electric Ltd.,Orientelec,Consumer Durables,Eq,272.3,274.95,265.1,272.05,274.3,2.25,0.83,43089.0,11637477.12,408.0,244.0,-13.24,-2.79
One 97 Communications Ltd.,Paytm,Financial Services,Eq,672.9,675.7,652.0,675.7,657.7,-18.0,-2.66,3069693.0,2027839196.0,1955.0,510.05,-11.06,3.48
Pcbl Ltd.,Pcbl,Chemicals,Eq,104.0,106.4,103.05,104.75,104.0,-0.75,-0.72,547189.0,57274272.63,138.65,89.0,-11.06,-0.76
Piramal Enterprises Ltd.,Pel,Financial Services,Eq,1661.5,1682.9,1626.3,1655.7,1672.0,16.3,0.98,536946.0,887040161.5,3014.95,1560.1,-30.96,-12.63
Petronet Lng Ltd.,Petronet,Oil Gas & Consumable Fuels,Eq,215.3,222.4,214.8,217.3,220.6,3.3,1.52,2021428.0,439842518.5,243.55,190.25,-3.76,-4.23
Power Finance Corporation Ltd.,Pfc,Financial Services,Eq,104.3,106.1,103.2,104.45,105.9,1.45,1.39,2843672.0,298670870.2,153.75,97.1,-18.91,-6.2
Phoenix Mills Ltd.,Phoenixltd,Realty,Eq,1183.7,1214.0,1162.8,1183.7,1173.05,-10.65,-0.9,172501.0,205640167.1,1244.95,793.4,45.21,1.44
Pnb Housing Finance Ltd.,Pnbhousing,Financial Services,Eq,329.55,329.55,324.65,330.3,327.55,-2.75,-0.83,59692.0,19533610.08,784.4,311.45,-11.06,1.55
Pnc Infratech Ltd.,Pncinfra,Construction,Eq,243.0,243.0,236.05,242.15,237.65,-4.5,-1.86,90779.0,21687103.1,395.9,219.0,-16.05,-1.16
Pb Fintech Ltd.,Policybzr,Financial Services,Eq,571.95,603.0,571.4,572.95,585.05,12.1,2.11,543062.0,322052057.9,1470.0,540.1,-11.06,-13.67
Poly Medicure Ltd.,Polymed,Healthcare,Eq,750.9,769.15,729.4,750.85,738.95,-11.9,-1.58,23654.0,17687988.12,1094.25,651.1,-26.14,0.14
Poonawalla Fincorp Ltd.,Poonawalla,Financial Services,Eq,227.5,232.0,224.1,227.7,230.45,2.75,1.21,2033688.0,465165456.2,343.8,140.75,-11.06,-12.24
Praj Industries Ltd.,Prajind,Capital Goods,Eq,364.9,364.9,357.4,363.9,358.5,-5.4,-1.48,207864.0,74752051.68,448.0,289.05,-11.06,6.17
Prestige Estates Projects Ltd.,Prestige,Realty,Eq,385.0,391.75,381.1,387.15,387.4,0.25,0.06,209983.0,81070236.64,554.9,284.0,33.71,-9.79
Prince Pipes And Fittings Ltd.,Princepipe,Capital Goods,Eq,593.15,603.0,590.15,598.15,594.5,-3.65,-0.61,51385.0,30605933.7,897.0,549.3,-16.74,-4.99
Privi Speciality Chemicals Ltd.,Priviscl,Chemicals,Eq,1075.75,1076.0,1040.0,1087.3,1072.0,-15.3,-1.41,16783.0,17740470.15,2249.0,1015.3,-2.0,-6.87
Prism Johnson Ltd.,Prsmjohnsn,Construction Materials,Eq,107.95,108.45,106.1,107.95,107.5,-0.45,-0.42,24056.0,2587222.8,160.0,96.65,-17.34,-6.01
Quess Corp Ltd.,Quess,Services,Eq,613.5,613.5,592.1,613.65,598.5,-15.15,-2.47,76594.0,46016143.32,989.9,527.4,-24.98,-12.84
Radico Khaitan Ltd,Radico,Fast Moving Consumer Goods,Eq,872.0,898.9,860.25,872.5,871.85,-0.65,-0.07,257073.0,226039147.4,1294.0,723.2,14.94,8.47
Railtel Corporation Of India Ltd.,Railtel,Telecommunication,Eq,91.15,91.65,90.7,91.1,91.05,-0.05,-0.05,162424.0,14801699.12,150.4,84.0,-35.57,-6.28
Rain Industries Ltd,Rain,Chemicals,Eq,145.5,149.55,144.1,146.5,148.75,2.25,1.54,946679.0,139067145.1,272.75,128.6,-24.74,-12.85
Rajesh Exports Ltd.,Rajeshexpo,Consumer Durables,Eq,622.0,630.85,615.0,625.4,621.0,-4.4,-0.7,128888.0,79999492.72,994.7,518.5,10.77,15.46
Rallis India Ltd.,Rallis,Chemicals,Eq,189.0,189.6,186.35,188.65,188.8,0.15,0.08,219820.0,41279997.8,341.85,182.5,-41.94,-5.77
The Ramco Cements Ltd.,Ramcocem,Construction Materials,Eq,634.0,648.95,613.75,636.8,646.0,9.2,1.44,327788.0,209502422.3,1132.7,575.65,-37.92,-8.87
Ratnamani Metals & Tubes Ltd.,Ratnamani,Capital Goods,Eq,1634.05,1659.7,1553.55,1654.4,1580.0,-74.4,-4.5,107552.0,170150490.6,1913.7,1237.07,-19.33,-37.18
Restaurant Brands Asia Ltd.,Rba,Consumer Services,Eq,112.0,113.05,108.85,111.0,109.7,-1.3,-1.17,978252.0,108732709.8,189.7,86.5,-11.06,14.2
Rashtriya Chemicals & Fertilizers Ltd.,Rcf,Chemicals,Eq,77.95,78.7,76.1,78.15,78.7,0.55,0.7,1110880.0,86082091.2,112.65,66.0,-6.52,-18.34
Redington (India) Ltd.,Redington,Services,Eq,125.0,128.0,122.6,125.55,127.4,1.85,1.47,1081859.0,135340560.9,179.2,109.4,-53.05,-3.42
Relaxo Footwears Ltd.,Relaxo,Consumer Durables,Eq,961.0,979.0,960.1,963.85,970.45,6.6,0.68,41820.0,40657822.2,1448.0,925.0,-16.33,-2.75
Rhi Magnesita India Ltd.,Rhim,Capital Goods,Eq,502.5,513.95,497.65,501.5,501.95,0.45,0.09,165626.0,83506972.94,674.0,317.3,-11.06,-6.55
Rites Ltd.,Rites,Construction,Eq,234.0,235.15,232.25,234.85,234.95,0.1,0.04,29804.0,6981288.96,317.9,226.2,-14.96,-4.78
Rossari Biotech Ltd.,Rossari,Chemicals,Eq,880.8,882.0,850.4,873.05,874.8,1.75,0.2,20002.0,17471947.02,1619.0,795.1,-26.84,0.05
Route Mobile Ltd.,Route,Telecommunication,Eq,1242.0,1290.0,1241.05,1242.85,1267.0,24.15,1.94,655866.0,830962546.0,2389.0,1052.0,-27.88,-10.73
Rattanindia Enterprises Ltd.,Rtnindia,Services,Eq,43.0,43.2,41.2,42.4,41.75,-0.65,-1.53,622861.0,26029361.19,71.0,30.5,-11.06,-13.91
